STATISTICHE UFFICIALI 2013/2014,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
635,A,ZAPATA D.,NAPOLI,9,1,0,5,0,2,2,0,0,0,0,0,1,6,0,7.61,7.83
740,A,CARUSO,CATANIA,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
763,A,BARTOLINI,LIVORNO,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
690,A,GLIOZZI,SASSUOLO,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
694,A,RODRIGUEZ,BOLOGNA,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
86,A,BERGESSIO,CATANIA,30,7,1,9,0,2,2,0,0,0,1,0,4,5.98,1,6.83,6.9
420,A,SANSONE G.,SAMPDORIA,22,2,0,3,0,1,1,0,0,0,0,0,1,5.98,0,6.34,6.39
308,A,PAZZINI,MILAN,15,1,0,2,0,1,1,0,0,0,0,0,1,5.97,0,6.33,6.4
285,A,PAULINHO,LIVORNO,35,8,0,12,0,1,1,0,0,0,3,0,5,5.96,0,7.13,7.16
241,A,VUCINIC,JUVENTUS,8,2,0,1,0,0,0,0,0,0,1,0,0,5.94,0,6.56,6.56
447,A,ZAZA,SASSUOLO,32,10,1,8,0,1,1,0,0,0,1,0,1,5.94,1,6.59,6.63
76,A,PINILLA,CAGLIARI,24,8,1,3,0,0,0,0,0,2,4,0,3,5.94,1,6.35,6.35
167,A,FLORO FLORES,SASSUOLO,27,4,0,7,0,3,3,0,0,0,0,0,1,5.93,1,6.63,6.74
73,A,NENE,CAGLIARI,17,4,0,5,0,0,0,0,0,0,0,0,1,5.91,0,6.68,6.68
520,A,JUANITO,VERONA HELLAS,24,3,0,5,0,5,5,0,0,0,0,0,1,5.9,1,6.46,6.67
116,A,PALOSCHI,CHIEVO,32,3,0,9,0,1,1,0,0,0,4,0,3,5.86,0,7.03,7.06
115,A,LAZAREVIC,CHIEVO,13,1,0,1,0,1,1,0,0,0,0,0,1,5.85,0,6.04,6.12
467,A,MEGGIORINI,TORINO,19,1,0,0,0,3,3,0,0,0,0,0,0,5.84,0,5.82,5.97
171,A,KONATE,GENOA,20,3,0,1,0,2,2,0,0,0,0,0,0,5.83,0,5.9,6
464,A,LARRONDO,TORINO,3,1,0,1,0,0,0,0,0,0,0,0,0,5.83,0,6.67,6.67
130,A,THEREAU,CHIEVO,31,2,0,5,0,1,1,0,0,1,2,0,2,5.82,0,6.37,6.4
255,A,KLOSE,LAZIO,24,2,0,7,0,1,1,0,0,0,0,0,3,5.81,0,6.65,6.69
309,A,PETAGNA,MILAN,5,1,0,0,0,0,0,0,0,0,0,0,0,5.8,0,5.7,5.7
80,A,SAU,CAGLIARI,28,1,0,6,0,1,1,0,0,0,0,0,1,5.8,1,6.43,6.46
602,A,BOATENG KI.,CATANIA,5,0,0,0,0,1,1,0,0,0,0,0,0,5.8,0,5.8,6
721,A,FEDATO,CATANIA,5,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,5.8,5.8
511,A,CACIA,VERONA HELLAS,7,0,0,0,0,0,0,0,0,0,0,0,0,5.79,0,5.79,5.79
490,A,LOPEZ,UDINESE,16,1,0,2,0,0,0,0,0,0,0,0,0,5.78,0,6.13,6.13
374,A,BORRIELLO,ROMA,9,2,0,1,0,0,0,0,0,0,0,0,1,5.78,0,6,6
47,A,MOSCARDELLI,BOLOGNA,13,5,0,1,0,1,1,0,0,0,0,0,0,5.77,0,5.81,5.88
608,A,MATOS,FIORENTINA,13,4,0,0,0,0,0,0,0,0,0,0,0,5.77,0,5.62,5.62
634,A,EMEGHARA,LIVORNO,28,3,1,3,0,3,3,0,0,0,1,0,0,5.77,1,6.11,6.21
715,A,OSVALDO,JUVENTUS,8,1,0,1,0,1,1,0,0,0,0,0,1,5.75,0,6.06,6.19
704,A,SANABRIA,SASSUOLO,2,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,5.75,5.75
205,A,MILITO,INTER,12,0,0,2,0,1,1,0,0,1,0,0,0,5.75,0,6,6.08
425,A,ALEXE,SASSUOLO,4,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,5.75,5.75
140,A,GOMEZ,FIORENTINA,9,1,0,2,0,1,1,0,0,0,1,0,1,5.72,0,6.67,6.78
