QUOTAZIONI FANTAGAZZETTA 2014/2015,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,
,,,,,,
id,Ruolo,Calciatore,Squadra,Costo,Costo Iniziale,Diff
144,C,ILICIC,FIORENTINA,"11,3","11,3",0
215,D,BONUCCI,JUVENTUS,"11,2","11,2",0
428,A,SANSONE G.,SAMPDORIA,"11,2","11,2",0
421,C,SORIANO,SAMPDORIA,"11,2","11,2",0
384,D,COLE,ROMA,"11,1","11,1",0
459,D,DARMIAN,TORINO,"11,1","11,1",0
278,D,RAMI,MILAN,"11,1","11,1",0
132,D,PASQUAL,FIORENTINA,"11,1","11,1",0
383,D,CASTAN,ROMA,"11,0","11,0",0
282,C,DE JONG,MILAN,"10,9","10,9",0
90,C,BIRSA,CHIEVO,"10,8","10,8",0
76,P,BARDI,CHIEVO,"10,6","10,6",0
136,D,SAVIC,FIORENTINA,"10,6","10,6",0
20,C,CIGARINI,ATALANTA,"10,5","10,5",0
219,D,EVRA,JUVENTUS,"10,5","10,5",0
248,D,DE VRIJ,LAZIO,"10,5","10,5",0
190,D,JONATHAN,INTER,"10,4","10,4",0
391,C,KEITA S.,ROMA,"10,4","10,4",0
452,A,PAVOLETTI,SASSUOLO,"10,4","10,4",0
495,D,HEURTAUX,UDINESE,"10,3","10,3",0
70,A,DEFREL,CESENA,"10,3","10,3",0
273,D,ALEX,MILAN,"10,2","10,2",0
321,A,PANDEV,NAPOLI,"10,1","10,1",0
322,A,VARGAS E.,NAPOLI,"10,0","10,0",0
396,C,UCAN,ROMA,"9,9","9,9",0
465,D,MOLINARO,TORINO,"9,9","9,9",0
276,D,DE SCIGLIO,MILAN,"9,9","9,9",0
37,C,ADRYAN,CAGLIARI,"9,9","9,9",0
257,C,FELIPE ANDERSON,LAZIO,"9,8","9,8",0
380,D,ASTORI,ROMA,"9,8","9,8",0
359,D,LUCARELLI,PARMA,"9,8","9,8",0
39,C,CONTI,CAGLIARI,"9,7","9,7",0
103,A,PELLISSIER,CHIEVO,"9,6","9,6",0
149,C,VARGAS J.,FIORENTINA,"9,6","9,6",0
354,D,CASSANI,PARMA,"9,6","9,6",0
302,D,GHOULAM,NAPOLI,"9,6","9,6",0
346,C,RIGONI,PALERMO,"9,5","9,5",0
527,C,HALLFREDSSON,VERONA,"9,5","9,5",0
259,C,LEDESMA,LAZIO,"9,5","9,5",0
14,D,STENDARDO,ATALANTA,"9,4","9,4",0
534,A,CHANTURIA,VERONA,"9,4","9,4",0
446,C,KURTIC,SASSUOLO,"9,4","9,4",0
338,C,BARRETO E.,PALERMO,"9,3","9,3",0
374,A,PALLADINO,PARMA,"9,3","9,3",0
120,C,VERDI,EMPOLI,"9,3","9,3",0
252,D,RADU,LAZIO,"9,3","9,3",0
204,C,M'VILA,INTER,"9,3","9,3",0
194,D,RANOCCHIA,INTER,"9,2","9,2",0
286,C,MUNTARI,MILAN,"9,2","9,2",0
154,A,BERNARDESCHI,FIORENTINA,"9,1","9,1",0
63,C,CASCIONE,CESENA,"9,1","9,1",0
442,D,VRSALJKO,SASSUOLO,"9,1","9,1",0
713,C,MEDEL,INTER,"9,1","9,1",0
177,C,PEROTTI,GENOA,"9,0","9,0",0
170,C,BERTOLACCI,GENOA,"9,0","9,0",0
172,C,IAGO FALQUE,GENOA,"8,8","8,8",0
281,C,CRISTANTE,MILAN,"8,8","8,8",0
261,C,MAURI,LAZIO,"8,8","8,8",0
129,D,BASANTA,FIORENTINA,"8,8","8,8",0
532,C,SALA,VERONA,"8,8","8,8",0
705,D,MARQUEZ,VERONA,"8,8","8,8",0
415,C,CAMPANA,SAMPDORIA,"8,8","8,8",0
471,C,FARNERUD,TORINO,"8,7","8,7",0
112,D,RUGANI,EMPOLI,"8,7","8,7",0
94,C,HETEMAJ,CHIEVO,"8,6","8,6",0
476,A,BARRETO P.,TORINO,"8,6","8,6",0
489,D,DANILO,UDINESE,"8,6","8,6",0
500,C,ALLAN,UDINESE,"8,5","8,5",0
425,A,FEDATO,SAMPDORIA,"8,5","8,5",0
303,D,HENRIQUE,NAPOLI,"8,5","8,5",0
419,C,PALOMBO,SAMPDORIA,"8,4","8,4",0
88,C,BELLOMO,CHIEVO,"8,4","8,4",0
271,D,ABATE,MILAN,"8,4","8,4",0
225,C,ASAMOAH,JUVENTUS,"8,4","8,4",0
174,C,GRECO,GENOA,"8,3","8,3",0
121,A,AGUIRRE,EMPOLI,"8,3","8,3",0
51,P,LEALI,CESENA,"8,3","8,3",0
16,C,BASELLI,ATALANTA,"8,3","8,3",0
473,C,NOCERINO,TORINO,"8,3","8,3",0
494,D,GABRIEL SILVA,UDINESE,"8,2","8,2",0
364,C,ACQUAH,PARMA,"8,2","8,2",0
368,C,MARCHIONNI,PARMA,"8,2","8,2",0
19,C,CARMONA,ATALANTA,"8,2","8,2",0
104,P,BASSI,EMPOLI,"8,2","8,2",0
191,D,JUAN JESUS,INTER,"8,2","8,2",0
375,A,POZZI,PARMA,"8,1","8,1",0
417,C,KRSTICIC,SAMPDORIA,"8,1","8,1",0
490,D,DOMIZZI,UDINESE,"8,1","8,1",0
447,C,MAGNANELLI,SASSUOLO,"7,9","7,9",0
69,C,ZE' EDUARDO,CESENA,"7,9","7,9",0
44,C,EKDAL,CAGLIARI,"7,8","7,8",0
81,D,DAINELLI,CHIEVO,"7,8","7,8",0
145,C,JOAQUIN,FIORENTINA,"7,8","7,8",0
411,D,GASTALDELLO,SAMPDORIA,"7,8","7,8",0
358,D,GOBBI,PARMA,"7,8","7,8",0
418,C,OBIANG,SAMPDORIA,"7,7","7,7",0
463,D,MAKSIMOVIC,TORINO,"7,7","7,7",0
101,A,MEGGIORINI,CHIEVO,"7,7","7,7",0
254,C,BIGLIA,LAZIO,"7,6","7,6",0
413,D,REGINI,SAMPDORIA,"7,6","7,6",0
366,C,GALLOPPA,PARMA,"7,6","7,6",0
301,D,FERNANDEZ F.,NAPOLI,"7,6","7,6",0
345,C,QUAISON,PALERMO,"7,5","7,5",0
461,D,GLIK,TORINO,"7,5","7,5",0
440,D,PELUSO,SASSUOLO,"7,5","7,5",0
506,C,PINZI,UDINESE,"7,5","7,5",0
245,D,CANA,LAZIO,"7,5","7,5",0
166,D,MARCHESE,GENOA,"7,4","7,4",0
143,C,FERNANDEZ M.,FIORENTINA,"7,4","7,4",0
93,C,IZCO,CHIEVO,"7,4","7,4",0
41,C,CRISETIG,CAGLIARI,"7,4","7,4",0
11,D,DRAME',ATALANTA,"7,4","7,4",0
333,D,MUNOZ,PALERMO,"7,4","7,4",0
304,D,KOULIBALY,NAPOLI,"7,3","7,3",0
499,D,WIDMER,UDINESE,"7,3","7,3",0
208,A,BOTTA,INTER,"7,3","7,3",0
503,C,GUILHERME,UDINESE,"7,2","7,2",0
444,C,BRIGHI,SASSUOLO,"7,2","7,2",0
708,D,CAPUANO,CAGLIARI,"7,1","7,1",0
524,C,TACHTSIDIS,VERONA,"7,1","7,1",0
67,C,GIORGI,CESENA,"7,1","7,1",0
84,D,GAMBERINI,CHIEVO,"7,1","7,1",0
137,D,TOMOVIC,FIORENTINA,"7,1","7,1",0
168,D,ROSI,GENOA,"6,9","6,9",0
469,C,BENASSI,TORINO,"6,9","6,9",0
406,P,ROMERO,SAMPDORIA,"6,8","6,8",0
189,D,DODO',INTER,"6,8","6,8",0
283,C,ESSIEN,MILAN,"6,8","6,8",0
115,C,GUARENTE,EMPOLI,"6,8","6,8",0
36,D,ROSSETTINI,CAGLIARI,"6,8","6,8",0
335,D,TERZI,PALERMO,"6,7","6,7",0
407,D,CACCIATORE,SAMPDORIA,"6,6","6,6",0
522,D,MORAS,VERONA,"6,6","6,6",0
706,D,LUNA,VERONA,"6,6","6,6",0
27,P,COLOMBI,CAGLIARI,"6,6","6,6",0
42,C,DESSENA,CAGLIARI,"6,5","6,5",0
71,A,DJURIC,CESENA,"6,5","6,5",0
64,C,CAZZOLA,CESENA,"6,5","6,5",0
61,D,RENZETTI,CESENA,"6,5","6,5",0
181,C,STURARO,GENOA,"6,5","6,5",0
466,D,MORETTI,TORINO,"6,5","6,5",0
479,A,MARTINEZ,TORINO,"6,5","6,5",0
293,A,NIANG,MILAN,"6,5","6,5",0
507,C,RIERA,UDINESE,"6,4","6,4",0
